[2024-10-10 12:44:45,519]::2730006395::DEBUG::=============face_key_point+2D Video Vision Transformer Strat!=============
[2024-10-10 17:31:26,281]::3947538980::DEBUG::Epoch: 55 , 1-MAE: 0.8963 , 1-Training Loss: 0.9557 , 1-val_avg_o_loss:0.8914 , 1-val_avg_c_loss:0.8914 , 1-val_avg_e_loss:0.9041 , 1-val_avg_a_loss:0.8963 , 1-val_avg_n_loss:0.8981
[2024-10-10 17:36:41,474]::3947538980::DEBUG::Epoch: 56 , 1-MAE: 0.8975 , 1-Training Loss: 0.9567 , 1-val_avg_o_loss:0.8938 , 1-val_avg_c_loss:0.8939 , 1-val_avg_e_loss:0.9065 , 1-val_avg_a_loss:0.8946 , 1-val_avg_n_loss:0.8988
[2024-10-10 17:41:57,546]::3947538980::DEBUG::Epoch: 57 , 1-MAE: 0.8988 , 1-Training Loss: 0.9564 , 1-val_avg_o_loss:0.8980 , 1-val_avg_c_loss:0.8925 , 1-val_avg_e_loss:0.9049 , 1-val_avg_a_loss:0.8995 , 1-val_avg_n_loss:0.8993
[2024-10-10 17:47:07,802]::3947538980::DEBUG::Epoch: 58 , 1-MAE: 0.8964 , 1-Training Loss: 0.9565 , 1-val_avg_o_loss:0.8988 , 1-val_avg_c_loss:0.8936 , 1-val_avg_e_loss:0.8998 , 1-val_avg_a_loss:0.8896 , 1-val_avg_n_loss:0.9000
[2024-10-10 17:52:23,226]::3947538980::DEBUG::Epoch: 59 , 1-MAE: 0.8994 , 1-Training Loss: 0.9561 , 1-val_avg_o_loss:0.8991 , 1-val_avg_c_loss:0.8942 , 1-val_avg_e_loss:0.9032 , 1-val_avg_a_loss:0.8978 , 1-val_avg_n_loss:0.9027
[2024-10-10 17:57:40,913]::3947538980::DEBUG::Epoch: 60 , 1-MAE: 0.8991 , 1-Training Loss: 0.9573 , 1-val_avg_o_loss:0.8965 , 1-val_avg_c_loss:0.8922 , 1-val_avg_e_loss:0.9059 , 1-val_avg_a_loss:0.8992 , 1-val_avg_n_loss:0.9019
[2024-10-10 18:02:50,382]::3947538980::DEBUG::Epoch: 61 , 1-MAE: 0.8992 , 1-Training Loss: 0.9580 , 1-val_avg_o_loss:0.8980 , 1-val_avg_c_loss:0.8944 , 1-val_avg_e_loss:0.9057 , 1-val_avg_a_loss:0.8976 , 1-val_avg_n_loss:0.9002
[2024-10-10 18:07:58,296]::3947538980::DEBUG::Epoch: 62 , 1-MAE: 0.8982 , 1-Training Loss: 0.9575 , 1-val_avg_o_loss:0.8940 , 1-val_avg_c_loss:0.8943 , 1-val_avg_e_loss:0.9075 , 1-val_avg_a_loss:0.8964 , 1-val_avg_n_loss:0.8988
[2024-10-10 18:13:14,060]::3947538980::DEBUG::Epoch: 63 , 1-MAE: 0.8989 , 1-Training Loss: 0.9580 , 1-val_avg_o_loss:0.8988 , 1-val_avg_c_loss:0.8931 , 1-val_avg_e_loss:0.9060 , 1-val_avg_a_loss:0.8954 , 1-val_avg_n_loss:0.9012
[2024-10-10 18:18:26,479]::3947538980::DEBUG::Epoch: 64 , 1-MAE: 0.8979 , 1-Training Loss: 0.9590 , 1-val_avg_o_loss:0.8974 , 1-val_avg_c_loss:0.8908 , 1-val_avg_e_loss:0.9013 , 1-val_avg_a_loss:0.9003 , 1-val_avg_n_loss:0.8997
[2024-10-10 18:23:37,952]::3947538980::DEBUG::Epoch: 65 , 1-MAE: 0.9003 , 1-Training Loss: 0.9592 , 1-val_avg_o_loss:0.8972 , 1-val_avg_c_loss:0.8953 , 1-val_avg_e_loss:0.9069 , 1-val_avg_a_loss:0.9003 , 1-val_avg_n_loss:0.9017
[2024-10-10 18:28:53,063]::3947538980::DEBUG::Epoch: 66 , 1-MAE: 0.8990 , 1-Training Loss: 0.9596 , 1-val_avg_o_loss:0.8990 , 1-val_avg_c_loss:0.8917 , 1-val_avg_e_loss:0.9053 , 1-val_avg_a_loss:0.8977 , 1-val_avg_n_loss:0.9011
[2024-10-10 18:34:08,211]::3947538980::DEBUG::Epoch: 67 , 1-MAE: 0.8996 , 1-Training Loss: 0.9599 , 1-val_avg_o_loss:0.8991 , 1-val_avg_c_loss:0.8930 , 1-val_avg_e_loss:0.9066 , 1-val_avg_a_loss:0.8987 , 1-val_avg_n_loss:0.9005
[2024-10-10 18:39:16,330]::3947538980::DEBUG::Epoch: 68 , 1-MAE: 0.8999 , 1-Training Loss: 0.9602 , 1-val_avg_o_loss:0.8996 , 1-val_avg_c_loss:0.8949 , 1-val_avg_e_loss:0.9068 , 1-val_avg_a_loss:0.8979 , 1-val_avg_n_loss:0.9004
[2024-10-10 18:44:29,086]::3947538980::DEBUG::Epoch: 69 , 1-MAE: 0.8987 , 1-Training Loss: 0.9600 , 1-val_avg_o_loss:0.8974 , 1-val_avg_c_loss:0.8909 , 1-val_avg_e_loss:0.9067 , 1-val_avg_a_loss:0.8996 , 1-val_avg_n_loss:0.8990
[2024-10-10 18:49:44,633]::3947538980::DEBUG::Epoch: 70 , 1-MAE: 0.8992 , 1-Training Loss: 0.9608 , 1-val_avg_o_loss:0.8992 , 1-val_avg_c_loss:0.8925 , 1-val_avg_e_loss:0.9070 , 1-val_avg_a_loss:0.8978 , 1-val_avg_n_loss:0.8995
[2024-10-10 18:54:57,249]::3947538980::DEBUG::Epoch: 71 , 1-MAE: 0.8995 , 1-Training Loss: 0.9610 , 1-val_avg_o_loss:0.8994 , 1-val_avg_c_loss:0.8902 , 1-val_avg_e_loss:0.9074 , 1-val_avg_a_loss:0.8984 , 1-val_avg_n_loss:0.9022
[2024-10-10 19:00:08,465]::3947538980::DEBUG::Epoch: 72 , 1-MAE: 0.8989 , 1-Training Loss: 0.9611 , 1-val_avg_o_loss:0.8970 , 1-val_avg_c_loss:0.8929 , 1-val_avg_e_loss:0.9058 , 1-val_avg_a_loss:0.8985 , 1-val_avg_n_loss:0.9005
[2024-10-10 19:05:26,377]::3947538980::DEBUG::Epoch: 73 , 1-MAE: 0.8975 , 1-Training Loss: 0.9616 , 1-val_avg_o_loss:0.8930 , 1-val_avg_c_loss:0.8949 , 1-val_avg_e_loss:0.9045 , 1-val_avg_a_loss:0.8977 , 1-val_avg_n_loss:0.8972
[2024-10-10 19:10:38,015]::3947538980::DEBUG::Epoch: 74 , 1-MAE: 0.9007 , 1-Training Loss: 0.9625 , 1-val_avg_o_loss:0.8993 , 1-val_avg_c_loss:0.8960 , 1-val_avg_e_loss:0.9062 , 1-val_avg_a_loss:0.8989 , 1-val_avg_n_loss:0.9032
[2024-10-10 19:15:51,146]::3947538980::DEBUG::Epoch: 75 , 1-MAE: 0.9001 , 1-Training Loss: 0.9631 , 1-val_avg_o_loss:0.8990 , 1-val_avg_c_loss:0.8945 , 1-val_avg_e_loss:0.9057 , 1-val_avg_a_loss:0.9012 , 1-val_avg_n_loss:0.8999
[2024-10-10 19:21:03,434]::3947538980::DEBUG::Epoch: 76 , 1-MAE: 0.8975 , 1-Training Loss: 0.9635 , 1-val_avg_o_loss:0.8890 , 1-val_avg_c_loss:0.8938 , 1-val_avg_e_loss:0.9068 , 1-val_avg_a_loss:0.8989 , 1-val_avg_n_loss:0.8992
[2024-10-10 19:26:13,300]::3947538980::DEBUG::Epoch: 77 , 1-MAE: 0.8981 , 1-Training Loss: 0.9637 , 1-val_avg_o_loss:0.8964 , 1-val_avg_c_loss:0.8916 , 1-val_avg_e_loss:0.9075 , 1-val_avg_a_loss:0.8972 , 1-val_avg_n_loss:0.8978
